id,title,true_genre,lr_predicted,svm_predicted
1,Edgar's Lunch (1998),thriller,drama,drama
2,La guerra de papá (1977),comedy,drama,drama
3,Off the Beaten Track (2010),documentary,documentary,documentary
4,Meu Amigo Hindu (2015),drama,drama,drama
5,Er nu zhai (1955),drama,drama,drama
6,Riddle Room (2016),horror,drama,thriller
7,L'amica (1969),drama,drama,drama
8,Ina Mina Dika (1989),comedy,drama,drama
9,Equinox Special: Britain's Tornados (2005),documentary,documentary,documentary
10,Press (2011),drama,drama,drama
11,The Firm Man (1975),drama,drama,drama
12,Out of Here (2013/I),drama,drama,drama
13,Tip 2 (1990),drama,drama,drama
14,Hero of the Day (2012),drama,documentary,short
15,Das letzte Mal (2000),short,drama,thriller
16,The Man in Every Shot (2010),documentary,documentary,documentary
17,The Kettles on Old MacDonald's Farm (1957),comedy,comedy,comedy
18,The Patriot (1916),western,drama,western
19,"""The Rogue Legends Series"" (2017)",documentary,documentary,documentary
20,A Case of Mistaken Identity? (2008),documentary,drama,drama
21,Dinner for Three (2016),short,drama,drama
22,Crack Baby (????),drama,documentary,documentary
23,Paper Marilyn (1994),documentary,documentary,documentary
24,A Tribute to Rick Nelson (1986),documentary,documentary,documentary
25,The Silent Rice Fields of Bakan (2016),documentary,documentary,documentary
26,Otetz Ivan i negovite detza (2010),documentary,documentary,documentary
27,What's Left (2018),drama,comedy,documentary
28,The Tunnel (????/II),family,documentary,drama
29,EWR Revolution 2.0 (2005),sport,sport,sport
30,Welcome to Welloak (????),horror,drama,comedy
31,Pioneers of the West (1927),western,comedy,comedy
32,The Message of Hope (1923),drama,drama,drama
33,Jose Jiminez Discovers America (1968),documentary,documentary,documentary
34,Mafia Heaven (????),comedy,comedy,drama
35,In Our Lifetime (2017),drama,drama,drama
36,By Their Own Hand: Police Suicides (1991),documentary,drama,drama
37,Snow (2017/II),drama,drama,drama
38,Love Inn Exile (2000),romance,drama,comedy
39,"""Voyna na zapadnom napravlenii"" (1990)",war,documentary,short
40,Les Fripiat (1987),drama,drama,drama
41,Hyaku iro megane (2003),short,drama,comedy
42,"""Bride vs. Bride"" (2006)",game-show,comedy,comedy
43,Breakfast Klub the DocKumentary (2005),short,documentary,documentary
44,The Bridges That Built London (2012),documentary,documentary,documentary
45,Shelter Me: Partners for Life (2015),documentary,documentary,documentary
46,Da Vinci Code Decoded (2004),documentary,documentary,documentary
47,"""El Acabose"" (2017)",comedy,documentary,documentary
48,"""Priceless"" (2012)",comedy,drama,drama
49,Jump In: The Movie (2013),drama,drama,drama
50,The Lazy Desperation (2006),documentary,documentary,documentary
51,"Jasper, Texas (2003)",drama,drama,documentary
52,Perfect Pie (2002),drama,drama,comedy
53,Partners in Time (1946),comedy,drama,drama
54,Manje' (2007),horror,drama,drama
55,"""Caught"" (2002)",biography,drama,drama
56,Manhole Children (2009),documentary,documentary,documentary
57,Brian (????),drama,drama,drama
58,Sin of Lust (1976),adult,drama,adult
59,The Saphead (1920),comedy,drama,drama
60,Philanthropy Inc (2009),documentary,documentary,documentary
61,Challenging Heaven (2014),short,documentary,drama
62,Rosetta (1999),drama,drama,drama
63,Karussell (2016),drama,comedy,comedy
64,Bez strakha (1971),drama,drama,drama
65,S lyubov i nezhnost (1978),drama,drama,drama
66,"""Of Many Things"" (1953)",talk-show,documentary,documentary
67,Barney: All About Opposites (2012),family,comedy,documentary
68,Barely Dead: The Saga of Modern Rollerblading (2008),documentary,documentary,documentary
69,Something About Ryan (2009),comedy,comedy,comedy
70,Tim Minchin: So Live (2007),comedy,comedy,comedy
71,Onward & Upward (2018),documentary,documentary,documentary
72,Challenger (1990),drama,documentary,documentary
73,Mini-Skirt Love (1967),drama,drama,drama
74,Blue Car (2002),drama,drama,drama
75,Kosztolányi Dezsö novellái: Lidike (????),short,drama,drama
76,Mexique mort ou vif (1996),documentary,comedy,comedy
77,Abandoned the Forgotten Ones (2018),horror,drama,drama
78,Baby (2016/I),drama,drama,drama
79,Backfire! (1995),comedy,comedy,comedy
80,On Hostile Ground (2001),documentary,documentary,documentary
81,Crafting Your Career: How to Turn Your Hobby Into a Business (2005),documentary,documentary,documentary
82,Kids Get Dead 2: The Kids Get Deader (2014),horror,horror,horror
83,Le complexe de la salamandre (2015),documentary,documentary,drama
84,One Window Will Suffice (2016),drama,drama,drama
85,"""Belligerent Drunks and Paranoid Stoners"" (2011)",comedy,comedy,comedy
86,Number 13 (2006),horror,documentary,documentary
87,The Infiltrators (????),action,drama,drama
88,Una película de gente que mira películas (2012),documentary,documentary,documentary
89,Antarctica in Decline (2017),documentary,documentary,documentary
90,The Spirit (1987),action,short,short
91,Cupid's Requiem (2012),drama,drama,thriller
92,Guney Afrika'nin Vahsi Dogasi (2016),documentary,documentary,documentary
93,The Bride Was Seven (2007),documentary,drama,documentary
94,OLAKH-my identity (2015),drama,drama,drama
95,"""My Brother's Keeper: A Drama Series"" (2006)",drama,drama,drama
96,"""Showcase"" (2015)",music,documentary,documentary
97,"Cinderelas, Lobos e Um Príncipe Encantado (2009)",documentary,drama,documentary
98,It's All in Your Mind (1938),drama,drama,drama
99,The Ouija Experiment 2: Theatre of Death (2015),horror,horror,horror
100,Wohin und zurück - Teil 3: Welcome in Vienna (1986),drama,drama,drama
101,Squeeze Take Me I'm Yours (2012),documentary,documentary,documentary
102,Keeping Clean and Neat (1956),short,documentary,documentary
103,Brothers Hypnotic (2013),documentary,drama,drama
104,Superposition (2007),short,documentary,documentary
105,"Unser Leben, das Wunder - Dokumentation (2012)",documentary,documentary,documentary
106,Jarum Halus (2008),drama,drama,drama
107,Sides (2007),drama,drama,comedy
108,That's Not My Dog! (2018),comedy,comedy,comedy
109,Skutecny svet? (1998),documentary,documentary,documentary
110,"""Liniya sveta"" (2017)",drama,drama,drama
111,Seeds of Change: The ECO Story (2008),documentary,drama,drama
112,Reverie Lane (2016),drama,drama,drama
113,Raggedy Man (1981),drama,drama,drama
114,All You Zombies: Bringing 'Predestination' to Life (2015),documentary,documentary,documentary
115,Social Life of Small Urban Spaces (1980),documentary,documentary,drama
116,The Way of the Willow (1981),short,documentary,documentary
117,Gina's Life (2015),documentary,drama,documentary
118,Song to Say Goodbye (2006),short,drama,drama
119,Finish Line (2008),crime,drama,action
120,Different (1999),drama,drama,drama
121,100 ans de cinéma: Deux fois 50 ans de cinéma français (1995),documentary,documentary,documentary
122,Young Producers (2010),comedy,comedy,comedy
123,Faint Perfume (1925),drama,drama,drama
124,Stuck on Broke (2010),drama,drama,drama
125,"""Frontier Borneo"" (2017)",documentary,documentary,documentary
126,Life Stinks (1991),comedy,drama,drama
127,Petit indi (2009),drama,drama,drama
128,Soliloquies from Women in Prison (2009),short,drama,short
129,V.I.P. (1991),action,drama,comedy
130,"""Bloodlines"" (2011)",drama,documentary,documentary
131,30 Miles (2004/I),drama,drama,drama
132,The Mask of Alexander Cross (1977),thriller,drama,horror
133,Concrete Canyons (2010),drama,drama,drama
134,"Intelligent Life: Change Your Mind, Change Your World (2009)",documentary,documentary,documentary
135,The Mongolian Marmot (2008),documentary,documentary,documentary
136,Girl Cousins (2007),comedy,drama,drama
137,"Glup, una aventura sin desperdicio (2004)",animation,drama,comedy
138,Winter's Watch (2017),documentary,documentary,documentary
139,Beyond the Ocean (2000),drama,drama,drama
140,The Truth of the Matter (2007),short,drama,drama
141,Black Silk Stockings (1978),adult,documentary,documentary
142,Scissere (1982),drama,drama,drama
143,Motor Nasch (1996),documentary,documentary,documentary
144,Audrey (1916),drama,drama,drama
145,"""Beauty & the Beast: The Ugly Face of Prejudice"" (2011)",documentary,drama,comedy
146,"""Graviton: The Ghost Particle"" (2017)",sci-fi,drama,documentary
147,All At Once (2016),drama,drama,drama
148,Otvaranje televizije Atlas (2006),family,comedy,comedy
149,Repercussion (2016),short,thriller,thriller
150,Vash syn i brat (1966),drama,drama,documentary
151,What Is Polenastics? (2012),sport,documentary,documentary
152,Whistling Hills (1951),western,drama,western
153,Nägel mit Köpfen (2013),documentary,documentary,documentary
154,"""Dezhurnyy vrach"" (2016)",drama,drama,drama
155,The Mummy's Kiss: 2nd Dynasty (2006),horror,drama,horror
156,Top of the Hill (1989),drama,drama,drama
157,"""Uncle Old School"" (2012)",comedy,drama,drama
158,Ma-nyeo (2014),horror,drama,drama
